,code,description
0,1.1,Total number of pregnant women registered for ANC
1,1.1.1,"Out of the total ANC registered, number registered within 1st trimester (within 12 weeks)"
2,1.2.1,Number of PW given TT1
3,1.2.2,Number of PW given TT2
4,1.2.3,Number of PW given TT Booster
5,1.2.4,Number of PW given 180 Iron Folic Acid (IFA) tablets
6,1.2.5,Number of PW given 360 Calcium tablets
7,1.2.6,Number of PW given one Albendazole tablet after 1st trimester
8,1.2.7,Number of PW received 4 or more ANC check ups
9,1.2.8,Number of PW given ANC Corticosteroids in Pre Term Labour
10,1.3.1,New cases of PW with hypertension detected
11,1.3.1.a,"Out of the new cases of PW with hypertension detected, cases managed at institution"
12,1.3.2,Number of Eclampsia cases managed during delivery
13,1.4.1,Number of PW tested for Haemoglobin (Hb ) 4 or more than 4 times for respective ANCs
14,1.4.2,Number of PW having Hb level<11 (tested cases)(7.1 to 10.9)
15,1.4.3,Number of PW having Hb level<7 (tested cases)
16,1.4.4,Number of PW having severe anaemia (Hb<7) treated
17,1.5.1,Number of PW tested for blood sugar using OGTT (Oral Glucose Tolerance Test)
18,1.5.2,Number of PW tested positive for GDM
19,1.5.3,Number of PW given insulin out of total tested positive for GDM
20,1.6.1.a,Number of PW tested using POC test for Syphilis
21,1.6.1.b,"Out of above, number of PW found sero positive for syphilis"
22,1.6.2.a,Number of pregnant women tested for Syphilis
23,1.6.2.b,Number of pregnant women tested found sero positive for Syphilis
24,1.6.2.c,Number of syphilis positive pregnant women treated for Syphilis
25,1.6.2.d,Number of babies diagnosed with Congenital Syphilis
26,1.6.2.e,Number of babies treated for congenital Syphilis
27,2.1.1.a,Number of Home Deliveries attended by Skill Birth Attendant(SBA) (Doctor/Nurse/ANM)
28,2.1.1.b,Number of Home Deliveries attended by Non SBA (Trained Birth Attendant(TBA) /Relatives/etc.)
29,2.1.2,Number of PW given Tablet Misoprostol during home delivery
30,2.1.3,Number of newborns received 7 Home Based Newborn Care (HBNC) visits in case of Home delivery
31,2.2,Number of Institutional Deliveries conducted (Including C-Sections)
32,2.2.1,Out of total institutional deliveries number of women discharged within 48 hours of delivery
33,2.2.2,Number of newborns received 6 HBNC visits after Institutional Delivery
34,3.1,Total C -Section deliveries performed
35,3.1.1,"C-sections, performed at night (8 PM- 8 AM)"
36,4.1.1.a,Live Birth - Male
37,4.1.1.b,Live Birth - Female
38,4.1.2,Number of Pre term newborns ( < 37 weeks of pregnancy)
39,4.1.3,Still Birth
40,4.2,Abortion (spontaneous)
